problem,case,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,runtime_id,algorithm_id,run_id,attempt_id
P2,013,1,ok,263949.0,0.33477745798882097,0.59810854200623,2527232.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-013-k1
P2,013,2,ok,132198.0,0.3003597920178436,0.49789558301563375,2535424.0,8192.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-013-k2
P2,013,3,ok,88351.0,0.29457133400137536,0.472031125013018,2543616.0,16384.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-013-k3
P2,013,4,ok,66946.0,0.28548554200096987,0.4731800830049906,2551808.0,24576.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-013-k4
P2,013,5,ok,54117.0,0.2927451249852311,0.4954127079981845,2560000.0,32768.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-013-k5
P2,014,1,ok,18021184.0,1.9279828330036253,26.322924709005747,68403556.0,58470816.0,58470816.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-014-k1
P2,014,2,ok,8869498.0,1.7082946250156965,16.329030332999537,60433276.0,50500536.0,40607328.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-014-k2
P2,014,3,ok,5955608.0,1.6982103330083191,13.51215970798512,64708204.0,54775464.0,34989048.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-014-k3
P2,014,4,ok,4510101.0,1.646086666994961,13.171305166004458,68849500.0,58916760.0,29287824.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-014-k4
P2,014,5,ok,3666823.0,1.9863262079888955,12.302873290987918,73255372.0,63322632.0,28088664.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-014-k5
P2,015,1,ok,160641.0,0.27411249998840503,0.3713997080049012,884614.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-015-k1
P2,015,2,ok,88861.0,0.25295433300198056,0.3342429590120446,989830.0,105216.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-015-k2
P2,015,3,ok,57529.0,0.29051712501677684,0.37452708298224024,1099654.0,215040.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-015-k3
P2,015,4,ok,56886.0,0.2675592500017956,0.3524866670195479,1115782.0,231168.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-015-k4
P2,015,5,ok,40828.0,0.2920445420022588,0.3856104579754174,1202566.0,317952.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-015-k5
P2,016,1,ok,7715523.0,0.7964300829917192,7.668204707995756,393218.0,0.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-016-k1
P2,016,2,ok,4027481.0,1.5841541249828879,5.075650125014363,402362.0,9144.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-016-k2
P2,016,3,ok,2888271.0,1.3150249579921365,4.815695458994014,405410.0,12192.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-016-k3
P2,016,4,ok,2250687.0,0.8547346249979455,4.304063457995653,932770.0,539552.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-016-k4
P2,016,5,ok,2240622.0,0.8364912079996429,4.544713500014041,674854.0,281636.0,0.0,q2-activecore-full500-20260925-s59-s01-runtime,q2-adaptive-budget,q2-activecore-full500-20260925-s59,q2-activecore-full500-20260925-s59-s01-p2-016-k5
