case_id,cores,baseline_cycles,forest_m3,forest_m2,final_m3,final_m2,forest_b_over_m,final_b_over_m,forest_g,final_g,solver_wall_seconds,fifth_core_status,selected_strategy,plan_changed_vs_forest,makespan_delta_vs_forest,scheduled_copy_bytes,extra_ddr_bytes,cache_hit_rate_bytes
025,2,4863026,2351860,2351860,2351860,2351860,2.0677361747723078,2.0677361747723078,1.0,1.0,11.466259333945345,skip,affine_eighth,False,0,8245248,27648,0.0
025,3,4863026,1568824,1568824,1568824,1568824,3.099790671228895,3.099790671228895,1.0,1.0,11.470253709005192,skip,affine_eighth,False,0,8272896,55296,0.0
025,4,4863026,1177396,1177396,1177396,1177396,4.130323187780492,4.130323187780492,1.0,1.0,11.21024354203837,skip,affine_eighth,False,0,8300544,82944,0.0
025,5,4863026,942938,942938,942938,942938,5.157312569861433,5.157312569861433,1.0,1.0,11.260593958024401,unsupported,affine_eighth,False,0,8328192,110592,0.0
026,1,99203,73319,74116,73319,74116,1.3530326381974658,1.3530326381974658,1.0108703064689917,1.0108703064689917,0.24437729199416935,skip,dag_join_gap_list,False,0,1075694,546840,0.13992313792472397
026,2,99203,39404,41307,39404,41307,2.5175870470003043,2.5175870470003043,1.0482945893817885,1.0482945893817885,0.2640103750163689,skip,dag_join_gap_list,False,0,1626702,1097848,0.28183144927894727
026,3,99203,33181,37309,33181,37309,2.9897531719960218,2.9897531719960218,1.1244085470600644,1.1244085470600644,0.28965295798843727,skip,dag_join_gap_list,False,0,1863418,1334564,0.29954510354917935
026,4,99203,30310,37530,30310,37530,3.272946222368855,3.272946222368855,1.2382052128010557,1.2382052128010557,0.3030010419897735,skip,dag_join_gap_list,False,0,2100666,1571812,0.35018933541436437
026,5,99203,30256,38416,30256,38416,3.2787876784769963,3.2787876784769963,1.2696985721840297,1.2696985721840297,0.31739433301845565,unsupported,dag_join_gap_list,False,0,2128210,1599356,0.3176441705107829
027,1,2363952,2356733,2358379,2356733,2358379,1.003063138675446,1.003063138675446,1.0006984244715036,1.0006984244715036,0.46675612503895536,skip,affine_eighth,False,0,3563520,1523712,0.27007299270072993
027,2,2363952,1120962,1120962,1120962,1120962,2.10886006840553,2.10886006840553,1.0,1.0,0.43762029201025143,skip,forest_memory_order,False,0,3784704,1744896,0.08904109589041095
027,3,2363952,837049,837049,837049,837049,2.8241500796249683,2.8241500796249683,1.0,1.0,0.4476147920358926,skip,affine_eighth,False,0,5726208,3686400,0.5325925925925926
027,4,2363952,559196,559196,559196,559196,4.227412213249022,4.227412213249022,1.0,1.0,0.43654962501022965,skip,affine_eighth,False,0,5357568,3317760,0.0
027,5,2363952,474040,474170,474040,474170,4.986819677664332,4.986819677664332,1.0002742384608894,1.0002742384608894,0.501763791020494,unsupported,release_place_forest,False,0,7815168,5775360,0.4601092896174863
028,1,43836040,39427116,39427116,39427116,39427116,1.111824664020569,1.111824664020569,1.0,1.0,8.685514707991388,skip,affine_eighth,False,0,304890552,298981944,0.0004243029369027377
028,2,43836040,19938966,20108866,19938966,20108866,2.198511196618721,2.198511196618721,1.0085210035465229,1.0085210035465229,10.576413833012339,skip,dag_join_gap_list,False,0,71598336,65689728,0.5512671455466404
028,3,43836040,13397125,13737069,13397125,13737069,3.2720482939436635,3.2720482939436635,1.0253743993580713,1.0253743993580713,9.740432667022105,skip,dag_join_gap_list,False,0,49107840,43199232,0.6617529592017862
028,4,43836040,9988326,10202297,9988326,10202297,4.388727400367189,4.388727400367189,1.0214221081690766,1.0214221081690766,10.954525791981723,skip,dag_join_gap_list,False,0,90981888,85073280,0.541046125584098
028,5,43836040,8025115,8294722,8025115,8294722,5.462356614204283,5.462356614204283,1.0335954064209671,1.0335954064209671,11.756855332991108,unsupported,dag_join_gap_list,False,0,86771328,80862720,0.5262555987505622
029,1,37555,37555,37555,37555,37555,1.0,1.0,1.0,1.0,0.31038687500404194,skip,affine_eighth,False,0,430164,0,0.0
029,2,37555,18880,18880,18880,18880,1.9891419491525424,1.9891419491525424,1.0,1.0,0.3314299159683287,skip,dag_join_gap_list,False,0,602566,172402,0.3521874912862839
029,3,37555,12951,12951,12951,12951,2.8997760790672533,2.8997760790672533,1.0,1.0,0.3505059579620138,skip,affine_eighth,False,0,430164,0,0.0
029,4,37555,11377,11377,11377,11377,3.3009580733057926,3.3009580733057926,1.0,1.0,0.4125945409759879,skip,affine_eighth,False,0,430164,0,0.0
029,5,37555,10005,10005,10005,10005,3.753623188405797,3.753623188405797,1.0,1.0,0.4479976670118049,unsupported,affine_eighth,False,0,430164,0,0.0
030,1,2808034,2795156,2795858,2795156,2795858,1.0046072562676287,1.0046072562676287,1.0002511487730916,1.0002511487730916,2.4086452920455486,skip,affine_eighth,False,0,5134284,2740224,0.5242369838420108
030,2,2808034,1394911,1395548,1394911,1395548,2.0130560300979776,2.0130560300979776,1.0004566599589508,1.0004566599589508,1.8805721669923514,skip,affine_eighth,False,0,5919692,3525632,0.5833044683062002
030,3,2808034,928296,928413,928296,928413,3.0249338573041356,3.0249338573041356,1.0001260373846272,1.0001260373846272,1.8226135420263745,skip,affine_eighth,False,0,7594956,5200896,0.6686942416869425
030,4,2808034,696146,696250,696146,696250,4.033685462532285,4.033685462532285,1.0001493939489705,1.0001493939489705,2.043568166962359,skip,affine_eighth,False,0,9082828,6688768,0.7115796594881046
030,5,2808034,558288,558448,558288,558448,5.029723010345915,5.029723010345915,1.0002865904336113,1.0002865904336113,1.9383816249901429,unsupported,affine_eighth,False,0,10023884,7629824,0.7427928848906155
031,1,1414369,1341484,1342229,1341484,1342229,1.0543316208020372,1.0543316208020372,1.000555355114187,1.000555355114187,1.0533912919927388,skip,attention_rows_ffn,False,0,5430868,3245828,0.2623319145188254
031,2,1414369,686138,686892,686138,686892,2.061347717223066,2.061347717223066,1.00109890430205,1.00109890430205,2.2426140409661457,skip,attention_rows_ffn_gap,False,0,11181302,8996262,0.04700291192014441
031,3,1414369,486904,510173,486904,510173,2.904821073558648,2.904821073558648,1.047789708032795,1.047789708032795,3.168449832999613,skip,attention_rows_ffn_gap,False,0,21741532,19556492,0.244805923883852
