case_id,cores,baseline_B,old_M,old_B_over_M,new_M,new_B_over_M,delta_B_over_M,old_extra_ddr_bytes,new_extra_ddr_bytes,delta_extra_ddr_bytes,old_spill_bytes,new_spill_bytes,old_solver_wall_s,new_solver_wall_s,old_E0_wall_s,new_E0_wall_s,old_route,new_route,new_active_cores,new_feed,new_feed_sha256
016,3,7715523,2888271,2.671329317782161,2888271,2.671329317782161,0.0,12192,12192,0,0,0,1.3976095829857513,1.3150249579921365,5.019132000015816,4.815695458994014,vector_arrival,vector_arrival,3,s01/board-feed-016-k3.json,2c9f9e69c4f4a58d2b921894000474f3d7be790cec80509497ab05a8717a18e0
016,4,7715523,2250687,3.4280746278802874,2250687,3.4280746278802874,0.0,539552,539552,0,0,0,0.8415282089845277,0.8547346249979455,4.477187207987299,4.304063457995653,dag_eft,dag_eft,4,s01/board-feed-016-k4.json,914bbb21ffc1255751c894094654c10ae92ec0735da6034eee05ef886d2bdc5e
016,5,7715523,2240622,3.4434737318476745,2240622,3.4434737318476745,0.0,281636,281636,0,0,0,0.8349649580195546,0.8364912079996429,4.478106249996927,4.544713500014041,dag_eft,dag_eft,5,s01/board-feed-016-k5.json,25c15ea8dcdbf6202e99cbb9a3e027ff4b67843422bbdd850d4261058ccf72af
017,1,162810,130072,1.2516913709330217,130072,1.2516913709330217,0.0,0,0,0,0,0,0.3200344589713495,0.26936079197912477,0.2848021670070011,0.4227552500087768,component_envelope,component_envelope,1,s01/board-feed-017-k1.json,888b6d6ff1c0f50fd27060658538496022bfd30f05975ff41d56051053982029
017,2,162810,67524,2.4111427048160654,67524,2.4111427048160654,0.0,87552,87552,0,0,0,0.28190037500462495,0.2667751670232974,0.2841801670147106,0.42694570901221596,component_envelope,component_envelope,2,s01/board-feed-017-k2.json,a37825b63a5d096f0e63249d4b60614c786647e8fe262d188af5f75b0c88aac8
017,3,162810,42600,3.821830985915493,42600,3.821830985915493,0.0,171648,171648,0,0,0,0.28330504198675044,0.31599437500699423,0.3115989579819143,0.39386054198257625,component_envelope,component_envelope,3,s01/board-feed-017-k3.json,ba2d4214ddd6076d5b9fa760b5f0bfa163c775da3685c1a5289a0216099742d5
017,4,162810,31517,5.165783545388203,31517,5.165783545388203,0.0,249984,249984,0,0,0,0.2861857499810867,0.281769458000781,0.28472225001314655,0.3944894589949399,component_envelope,component_envelope,4,s01/board-feed-017-k4.json,8009d7ae1eb9b0f3d3f8a294635e8ffccff13f17a9d013cd31f1e0606425f9e1
017,5,162810,28510,5.710627849877236,28510,5.710627849877236,0.0,329472,329472,0,0,0,0.2846243749954738,0.28270054201129824,0.2845896249928046,0.42179770799702965,component_envelope,component_envelope,5,s01/board-feed-017-k5.json,3f26eef864376ecfaf4da12f1e6522972840fbe5a561c054376822caa40f747e
018,1,1004367,1020703,0.9839953443851933,1020703,0.9839953443851933,0.0,815104,815104,0,815104,815104,0.27961812500143424,0.3665360419836361,0.5686598749889527,0.6475103749835398,component_envelope,component_envelope,1,s01/board-feed-018-k1.json,7ced9bf413dc9cd14a6ddf6fb8d4d2a5b413e940fb166ae010b49152bf159149
018,2,1004367,492735,2.0383512435690583,492735,2.0383512435690583,0.0,1520640,1520640,0,221184,221184,0.28044183398014866,0.43597387499175966,0.566310499998508,0.6936398749821819,component_envelope,component_envelope,2,s01/board-feed-018-k2.json,7a0b22bf008707c0da258c8c5b1d3e9f3ea7a38b023f08be9c2cfc081a0cbab4
