case,cores,baseline_cycles,cache_cycles,no_cache_cycles,cache_speedup,no_cache_speedup,cache_gain,attempt_id,revision
012,5,59088.0,13175.0,17257.0,4.484857685009487,3.424001854319986,1.3098292220113852,q3-witness-full500-20260925-s59-s03-P3-012-k5-unified-attention-witness-e0,2
014,5,17698626.0,3599672.0,3613047.0,4.916732969003842,4.898531903958072,1.0037156163117085,q3-witness-full500-20260925-s59-s03-P3-014-k5-unified-attention-witness-e0,2
016,5,7715523.0,1949798.0,1949798.0,3.9570883753086217,3.9570883753086217,1.0,q3-witness-full500-20260925-s59-s03-P3-016-k5-unified-attention-witness-e0,2
018,5,1004367.0,198417.0,198417.0,5.061899938009344,5.061899938009344,1.0,q3-witness-full500-20260925-s59-s03-P3-018-k5-unified-attention-witness-e0,2
020,5,532746.0,111137.0,111137.0,4.793597091877593,4.793597091877593,1.0,q3-witness-full500-20260925-s59-s03-P3-020-k5-unified-attention-witness-e0,2
022,5,56780.0,11421.0,11430.0,4.9715436476665795,4.967629046369204,1.0007880220646177,q3-witness-full500-20260925-s59-s03-P3-022-k5-unified-attention-witness-e0,2
024,5,2555343.0,648482.0,648482.0,3.9404995049978258,3.9404995049978258,1.0,q3-witness-full500-20260925-s59-s03-P3-024-k5-unified-attention-witness-e0,2
026,5,99203.0,30256.0,38416.0,3.2787876784769963,2.582335485214494,1.2696985721840297,q3-witness-full500-20260925-s59-s03-P3-026-k5-unified-attention-witness-e0,2
028,5,43836040.0,8025115.0,8294722.0,5.462356614204283,5.284811232974414,1.0335954064209671,q3-witness-full500-20260925-s59-s03-P3-028-k5-unified-attention-witness-e0,2
030,5,2808034.0,558288.0,558448.0,5.029723010345915,5.02828195284073,1.0002865904336113,q3-witness-full500-20260925-s59-s03-P3-030-k5-unified-attention-witness-e0,2
032,5,41443.0,10326.0,12568.0,4.013461165988766,3.2975015913430936,1.2171218283943444,q3-witness-full500-20260925-s59-s03-P3-032-k5-unified-attention-witness-e0,2
034,5,842996.0,157489.0,162779.0,5.352729396973757,5.178776132056346,1.0335896475309387,q3-witness-full500-20260925-s59-s03-P3-034-k5-unified-attention-witness-e0,2
036,5,931510.0,187182.0,187182.0,4.976493466252097,4.976493466252097,1.0,q3-witness-full500-20260925-s59-s03-P3-036-k5-unified-attention-witness-e0,2
038,5,1364555.0,268556.0,270283.0,5.081081785549383,5.04861571020005,1.006430688571471,q3-witness-full500-20260925-s59-s03-P3-038-k5-unified-attention-witness-e0,2
040,5,253454.0,57815.0,67790.0,4.383879616016604,3.7388110340758223,1.1725330796506097,q3-witness-full500-20260925-s59-s03-P3-040-k5-unified-attention-witness-e0,2
042,5,1686740.0,328641.0,341131.0,5.132469777051555,4.9445520928910005,1.038004996333385,q3-witness-full500-20260925-s59-s03-P3-042-k5-unified-attention-witness-e0,2
